pkg, A_mk_path, B_mk_path, A_license, B_license, A_version, B_version, status
mod-amxb-pcb, feeds/feed_amx/mods/mod-amxb-pcb/Makefile, feeds/feed_amx/mods/mod-amxb-pcb/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v3.12.0-1, v3.12.0-1, same
mod-amxb-ubus, feeds/feed_amx/mods/mod-amxb-ubus/Makefile, feeds/feed_amx/mods/mod-amxb-ubus/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v3.4.0-1, v3.4.0-1, same
mod-amxb-usp, feeds/feed_usp/mods/mod-amxb-usp/Makefile, feeds/feed_usp/mods/mod-amxb-usp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v5.1.2-1, v5.1.2-1, same
mod-autosensing, feeds/feed_net_core/mods/mod-autosensing/Makefile, feeds/feed_net_core/mods/mod-autosensing/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.1-1, v0.2.1-1, same
mod-ba-cli, feeds/feed_amx/mods/mod-ba-cli/Makefile, feeds/feed_amx/mods/mod-ba-cli/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.13.0-1, v0.13.0-1, same
mod-dhcpv4c, feeds/feed_net_core/mods/mod-dhcpv4c/Makefile, feeds/feed_net_core/mods/mod-dhcpv4c/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.13.7-1, v0.13.7-1, same
mod-dm-cli, feeds/feed_amx/mods/mod-dm-cli/Makefile, feeds/feed_amx/mods/mod-dm-cli/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.6-1, v0.2.6-1, same
mod-dmext, feeds/feed_net_services/mods/mod-dmext/Makefile, feeds/feed_net_services/mods/mod-dmext/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.11.0-1, v0.11.0-1, same
mod-dmproxy, feeds/feed_net_services/mods/mod-dmproxy/Makefile, feeds/feed_net_services/mods/mod-dmproxy/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.4.1-1, v1.4.1-1, same
mod-dmstats, feeds/feed_net_core/mods/mod-dmstats/Makefile, feeds/feed_net_core/mods/mod-dmstats/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.3-1, v0.1.5-1, diff
mod-dns-failover, feeds/feed_net_services/mods/mod-dns-failover/Makefile, feeds/feed_net_services/mods/mod-dns-failover/Makefile, SAH, SAH, v1.0.2-1, v1.0.2-1, same
mod-dns-retry, feeds/feed_net_services/mods/mod-dns-retry/Makefile, feeds/feed_net_services/mods/mod-dns-retry/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v3.0.2-1, v3.0.2-1, same
mod-dnssd-advertisement, feeds/feed_net_services/mods/mod-dnssd-advertisement/Makefile, feeds/feed_net_services/mods/mod-dnssd-advertisement/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.4.5-1, v0.4.5-1, same
mod-dns-unbound, feeds/feed_net_core/mods/mod-dns-unbound/Makefile, feeds/feed_net_core/mods/mod-dns-unbound/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.6.10-1, v1.6.10-1, same
mod-fw-amx, feeds/feed_qos_firewall/mods/mod-fw-amx/Makefile, feeds/feed_qos_firewall/mods/mod-fw-amx/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.3.4-1, v0.3.4-1, same
mod-fw-host, feeds/feed_qos_firewall/mods/mod-fw-host/Makefile, feeds/feed_qos_firewall/mods/mod-fw-host/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.3-1, v0.1.3-1, same
mod-fwi-sysupgrade, feeds/feed_net_services/mods/mod-fwi-sysupgrade/Makefile, feeds/feed_net_services/mods/mod-fwi-sysupgrade/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.2-1, v0.1.2-1, same
mod-httpaccess-lighttpd, feeds/feed_net_services/mods/mod-httpaccess-lighttpd/Makefile, feeds/feed_net_services/mods/mod-httpaccess-lighttpd/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.4.1-1, v0.4.1-1, same
mod-led-scenarios, feeds/feed_peripheral/mods/mod-led-scenarios/Makefile, feeds/feed_peripheral/mods/mod-led-scenarios/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.7.2-1, v0.7.2-1, same
mod-logical-api, feeds/feed_net_core/mods/mod-logical-api/Makefile, feeds/feed_net_core/mods/mod-logical-api/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.8.6-1, v0.8.6-1, same
mod-lua-amx, feeds/feed_amx/mods/mod-lua-amx/Makefile, feeds/feed_amx/mods/mod-lua-amx/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.11-1, v0.1.11-1, same
mod-netmodel, feeds/feed_netmodel/mods/mod-netmodel/Makefile, feeds/feed_netmodel/mods/mod-netmodel/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.5.3-1, v0.5.3-1, same
mod-pcm-svc, feeds/feed_net_services/mods/mod-pcm-svc/Makefile, feeds/feed_net_services/mods/mod-pcm-svc/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.13.3-1, v0.13.3-1, same
mod-ppp-daemon, feeds/feed_net_core/mods/mod-ppp-daemon/Makefile, feeds/feed_net_core/mods/mod-ppp-daemon/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.5.11-1, v0.5.11-1, same
mod-qos-dummy, feeds/feed_qos_firewall/mods/mod-qos-dummy/Makefile, feeds/feed_qos_firewall/mods/mod-qos-dummy/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.0.6-1, v0.0.6-1, same
mod-qos-tc, feeds/feed_qos_firewall/mods/mod-qos-tc/Makefile, feeds/feed_qos_firewall/mods/mod-qos-tc/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.3.1-1, v2.3.1-1, same
mod-ra-radvd, feeds/feed_net_core/mods/mod-ra-radvd/Makefile, feeds/feed_net_core/mods/mod-ra-radvd/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.6.0-1, v0.6.0-1, same
mod-routing-dhcp, feeds/feed_net_core/mods/mod-routing-dhcp/Makefile, feeds/feed_net_core/mods/mod-routing-dhcp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.0-1, v0.2.0-1, same
mod-sahtrace, feeds/feed_net_services/mods/mod-sahtrace/Makefile, feeds/feed_net_services/mods/mod-sahtrace/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.2.2-1, v1.2.2-1, same
mod-time-dhcpoption, feeds/feed_net_services/mods/mod-time-dhcpoption/Makefile, feeds/feed_net_services/mods/mod-time-dhcpoption/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.0-1, v0.2.0-1, same
mod-time-tr181-compat, feeds/feed_net_services/mods/mod-time-tr181-compat/Makefile, feeds/feed_net_services/mods/mod-time-tr181-compat/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.1-1, v0.1.1-1, same
mod-users-passwordvalidation, feeds/feed_net_services/mods/mod-users-passwordvalidation/Makefile, feeds/feed_net_services/mods/mod-users-passwordvalidation/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.1-1, v0.1.1-1, same
mod-usp-cli, feeds/feed_usp/mods/mod-usp-cli/Makefile, feeds/feed_usp/mods/mod-usp-cli/Makefile, , , v0.1.3-1, v0.1.3-1, same
mod-usp-onboarding, feeds/feed_usp/mods/mod-usp-onboarding/Makefile, feeds/feed_usp/mods/mod-usp-onboarding/Makefile, , , v1.3.5-1, v1.3.5-1, same
mod-usp-registration, feeds/feed_usp/mods/mod-usp-registration/Makefile, feeds/feed_usp/mods/mod-usp-registration/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.1-1, v0.1.1-1, same
mod-vlan-ioctl, feeds/feed_net_core/mods/mod-vlan-ioctl/Makefile, feeds/feed_net_core/mods/mod-vlan-ioctl/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.7-1, v0.1.7-1, same
mod-vlan-uci, feeds/feed_net_core/mods/mod-vlan-uci/Makefile, feeds/feed_net_core/mods/mod-vlan-uci/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.4-1, v0.1.4-1, same
mod-whm-dummy, feeds/feed_wifi_core/modules/mod-whm-dummy/Makefile, feeds/feed_wifi_core/modules/mod-whm-dummy/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.0-1, v0.2.0-1, same
mod-whm-freedom, feeds/feed_prpl/prplmesh/modules/mod-whm-freedom/Makefile, feeds/feed_prpl/prplmesh/modules/mod-whm-freedom/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, 0.0.1-1, 0.0.1-1, same
mod-whm-haze, feeds/feed_prpl/prplmesh/modules/mod-whm-haze/Makefile, feeds/feed_prpl/prplmesh/modules/mod-whm-haze/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, 0.0.1-1, 0.0.1-1, same
mod-whm-qca-ipq95xx, feeds/feed_prpl/prplmesh/modules/mod-whm-qca-ipq95xx/Makefile, feeds/feed_prpl/prplmesh/modules/mod-whm-qca-ipq95xx/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.0-1, v0.1.0-1, same
mod-xpon-prpl, feeds/feed_net_core/mods/mod-xpon-prpl/Makefile, feeds/feed_net_core/mods/mod-xpon-prpl/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.6-1, v1.0.6-1, same
mod-xpon-prpl-mock, feeds/feed_net_core/mods/mod-xpon-prpl/Makefile, feeds/feed_net_core/mods/mod-xpon-prpl/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.6-1, v1.0.6-1, same
multisettings, feeds/feed_net_services/plugins/multisettings/Makefile, feeds/feed_net_services/plugins/multisettings/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.11.2-1, v0.11.2-1, same
netdev-plugin, feeds/feed_net_core/plugins/netdev-plugin/Makefile, feeds/feed_net_core/plugins/netdev-plugin/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.11.10-1, v1.11.10-1, same
netmodel, feeds/feed_netmodel/plugins/netmodel/Makefile, feeds/feed_netmodel/plugins/netmodel/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.17.0-1, v2.17.0-1, same
netmodel-bridge, feeds/feed_netmodel/libs/netmodel-bridge/Makefile, feeds/feed_netmodel/libs/netmodel-bridge/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.4-1, v1.0.4-1, same
netmodel-clients, feeds/feed_netmodel/plugins/netmodel-clients/Makefile, feeds/feed_netmodel/plugins/netmodel-clients/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.1-1, v0.2.1-1, same
netmodel-dhcpv4, feeds/feed_netmodel/libs/netmodel-dhcpv4/Makefile, feeds/feed_netmodel/libs/netmodel-dhcpv4/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.3.0-1, v1.3.0-1, same
netmodel-dhcpv6, feeds/feed_netmodel/libs/netmodel-dhcpv6/Makefile, feeds/feed_netmodel/libs/netmodel-dhcpv6/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.3.0-1, v1.3.0-1, same
netmodel-dslite, feeds/feed_netmodel/libs/netmodel-dslite/Makefile, feeds/feed_netmodel/libs/netmodel-dslite/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.3-1, v0.1.3-1, same
netmodel-ethernet, feeds/feed_netmodel/libs/netmodel-ethernet/Makefile, feeds/feed_netmodel/libs/netmodel-ethernet/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.3-1, v1.0.3-1, same
netmodel-ip, feeds/feed_netmodel/libs/netmodel-ip/Makefile, feeds/feed_netmodel/libs/netmodel-ip/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.4.0-1, v1.4.0-1, same
netmodel-iprouter, feeds/feed_netmodel/libs/netmodel-iprouter/Makefile, feeds/feed_netmodel/libs/netmodel-iprouter/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.3.1-1, v0.3.1-1, same
netmodel-logical, feeds/feed_netmodel/libs/netmodel-logical/Makefile, feeds/feed_netmodel/libs/netmodel-logical/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.2-1, v1.0.2-1, same
netmodel-moca, feeds/feed_netmodel/libs/netmodel-moca/Makefile, feeds/feed_netmodel/libs/netmodel-moca/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.1-1, v0.1.1-1, same
netmodel-netdev, feeds/feed_netmodel/libs/netmodel-netdev/Makefile, feeds/feed_netmodel/libs/netmodel-netdev/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.4-1, v1.0.4-1, same
netmodel-ppp, feeds/feed_netmodel/libs/netmodel-ppp/Makefile, feeds/feed_netmodel/libs/netmodel-ppp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.1-1, v0.2.1-1, same
netmodel-radio, feeds/feed_netmodel/libs/netmodel-radio/Makefile, feeds/feed_netmodel/libs/netmodel-radio/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.2-1, v0.1.2-1, same
netmodel-ssid, feeds/feed_netmodel/libs/netmodel-ssid/Makefile, feeds/feed_netmodel/libs/netmodel-ssid/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.3-1, v0.1.3-1, same
netmodel-vlan, feeds/feed_netmodel/libs/netmodel-vlan/Makefile, feeds/feed_netmodel/libs/netmodel-vlan/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.1-1, v1.0.1-1, same
netmodel-xpon, feeds/feed_netmodel/libs/netmodel-xpon/Makefile, feeds/feed_netmodel/libs/netmodel-xpon/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.1-1, v0.1.1-1, same
obuspa, feeds/feed_usp/apps/obuspa/Makefile, feeds/feed_usp/apps/obuspa/Makefile, BSD-3-Clause, BSD-3-Clause, v8.0.7-1, v9.0.3-1, diff
obuspa-usp-app, feeds/feed_prpl/usp/example/obuspa-usp-app/Makefile, feeds/feed_prpl/usp/example/obuspa-usp-app/Makefile, MIT, MIT, v1.0.0-1, v1.0.0-1, same
odl-generator, feeds/feed_board_configuration/utilities/odl-generator/Makefile, feeds/feed_board_configuration/utilities/odl-generator/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.12.0-1, v1.12.4-1, diff
oopsmonitor, feeds/feed_debug/plugins/oopsmonitor/Makefile, feeds/feed_debug/plugins/oopsmonitor/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.5-1, v1.0.5-1, same
opennds-prpl, feeds/feed_opensource/routing/opennds-prpl/Makefile, feeds/feed_opensource/routing/opennds-prpl/Makefile, GPL-2.0-or-later, GPL-2.0-or-later, gen_10.2.0_v0.1.0-1, gen_10.2.0_v0.1.0-1, same
packet-interception, feeds/feed_qos_firewall/plugins/packet-interception/Makefile, feeds/feed_qos_firewall/plugins/packet-interception/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.3.2-1, v0.3.2-1, same
pcm-manager, feeds/feed_net_services/plugins/pcm-manager/Makefile, feeds/feed_net_services/plugins/pcm-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.19.6-1, v0.19.6-1, same
pk_name, mk_path, mk_path, license, license, version, version, same
ppp-prpl, feeds/feed_opensource/base/network/services/ppp-prpl/Makefile, feeds/feed_opensource/base/network/services/ppp-prpl/Makefile, BSD-4-Clause, BSD-4-Clause, gen_2.4.9_v0.1.5-4, gen_2.4.9_v0.1.5-4, same
prpl-configuration, feeds/feed_prpl/prpl-configuration/Makefile, feeds/feed_prpl/prpl-configuration/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.0-1, v0.2.0-1, same
prpl-configuration-qca-ipq95xx, feeds/feed_prpl/prpl-configuration/Makefile, feeds/feed_prpl/prpl-configuration/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.0-1, v0.2.0-1, same
prplmesh, feeds/feed_prpl/prplmesh/Makefile, feeds/feed_prpl/prplmesh/Makefile, , BSD-2-Clause-Patent, 4.2.6-1, 4.3.0-2, diff
prplmesh-unit-tests, feeds/feed_prpl/prplmesh/Makefile, feeds/feed_prpl/prplmesh/Makefile, , BSD-2-Clause-Patent, 4.2.6-1, 4.3.0-2, diff
prpl-webui, feeds/feed_prpl/network/utilities/prpl-webui/Makefile, feeds/feed_prpl/network/utilities/prpl-webui/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, 0.2.7-1, 0.2.7-1, same
pwhm, feeds/feed_wifi_core/plugins/pwhm/Makefile, feeds/feed_wifi_core/plugins/pwhm/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v6.29.2-1, mainline-3.2_v0.0.3-1, diff
radvd, feeds/feed_opensource/sah/radvd/Makefile, feeds/feed_opensource/sah/radvd/Makefile, radvd, radvd, 2.19-2, 2.19-2, same
radvdump, feeds/feed_opensource/sah/radvd/Makefile, feeds/feed_opensource/sah/radvd/Makefile, radvd, radvd, 2.19-2, 2.19-2, same
reboot-service, feeds/feed_peripheral/plugins/reboot-service/Makefile, feeds/feed_peripheral/plugins/reboot-service/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.4-1, v0.2.4-1, same
rlyeh, feeds/feed_lcm/apps/rlyeh/Makefile, feeds/feed_lcm/apps/rlyeh/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.4.0-1, v2.5.0-1, diff
routing-manager, feeds/feed_net_core/plugins/routing-manager/Makefile, feeds/feed_net_core/plugins/routing-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.20.1-1, mainline-3.2_v0.1.0-1, diff
ssh-client, feeds/feed_net_services/plugins/ssh-client/Makefile, feeds/feed_net_services/plugins/ssh-client/Makefile, SAH, SAH, v1.0.6-1, v1.0.6-1, same
ssh-server, feeds/feed_net_services/plugins/ssh-server/Makefile, feeds/feed_net_services/plugins/ssh-server/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.6.19-1, v0.6.19-1, same
station-sniffer, feeds/feed_prpl/station-sniffer/Makefile, feeds/feed_prpl/station-sniffer/Makefile, BSD-2-Clause, BSD-2-Clause, 2023-10-26-1, 2023-10-26-1, same
time-manager, feeds/feed_net_services/plugins/time-manager/Makefile, feeds/feed_net_services/plugins/time-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.7.4-1, v2.7.4-1, same
timingila, feeds/feed_lcm/apps/timingila/Makefile, feeds/feed_lcm/apps/timingila/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.3.1-1, v3.0.0-1, diff
timingila-cthulhu, feeds/feed_lcm/mods/timingila-cthulhu/Makefile, feeds/feed_lcm/mods/timingila-cthulhu/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.2.0-1, v3.0.0-1, diff
timingila-rlyeh, feeds/feed_lcm/mods/timingila-rlyeh/Makefile, feeds/feed_lcm/mods/timingila-rlyeh/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.8-1, v1.1.0-1, diff
tr069-manager, feeds/feed_tr69/plugins/tr069-manager/Makefile, feeds/feed_tr69/plugins/tr069-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.33.12-1, v1.33.12-1, same
tr157-cwmp-softwaremodules, feeds/feed_tr69/plugins/tr157-cwmp-softwaremodules/Makefile, feeds/feed_tr69/plugins/tr157-cwmp-softwaremodules/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.0-1, v0.2.0-1, same
tr181-bridging, feeds/feed_net_core/plugins/tr181-bridging/Makefile, feeds/feed_net_core/plugins/tr181-bridging/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.8.6-1, v2.8.6-1, same
tr181-bulkdata, feeds/feed_net_services/plugins/tr181-bulkdata/Makefile, feeds/feed_net_services/plugins/tr181-bulkdata/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.6.2-1, v0.6.2-1, same
tr181-button, feeds/feed_peripheral/plugins/tr181-button/Makefile, feeds/feed_peripheral/plugins/tr181-button/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.1-1, v0.1.1-1, same
tr181-captiveportal, feeds/feed_net_hl_services/plugins/tr181-captiveportal/Makefile, feeds/feed_net_hl_services/plugins/tr181-captiveportal/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.5.4-1, v0.5.4-1, same
tr181-device, feeds/feed_net_services/plugins/tr181-device/Makefile, feeds/feed_net_services/plugins/tr181-device/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.29.7-1, v0.29.7-1, same
tr181-dhcpv4client, feeds/feed_net_core/plugins/tr181-dhcpv4client/Makefile, feeds/feed_net_core/plugins/tr181-dhcpv4client/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.26.9-1, v1.26.9-1, same
tr181-dhcpv4relay, feeds/feed_net_core/plugins/tr181-dhcpv4relay/Makefile, feeds/feed_net_core/plugins/tr181-dhcpv4relay/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.5.4-1, v0.5.4-1, same
tr181-dhcpv6client, feeds/feed_net_core/plugins/tr181-dhcpv6client/Makefile, feeds/feed_net_core/plugins/tr181-dhcpv6client/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.5.7-1, v1.5.7-1, same
tr181-dns, feeds/feed_net_core/plugins/tr181-dns/Makefile, feeds/feed_net_core/plugins/tr181-dns/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v3.3.0-1, v3.3.0-1, same
tr181-dnssd, feeds/feed_net_services/plugins/tr181-dnssd/Makefile, feeds/feed_net_services/plugins/tr181-dnssd/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.5.8-1, v0.5.8-1, same
tr181-dslite, feeds/feed_net_core/plugins/tr181-dslite/Makefile, feeds/feed_net_core/plugins/tr181-dslite/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.10.6-1, v0.10.6-1, same
tr181-dynamicdns, feeds/feed_net_services/plugins/tr181-dynamicdns/Makefile, feeds/feed_net_services/plugins/tr181-dynamicdns/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.5.6-1, mainline-3.2_v0.1.0-1, diff
tr181-firewall, feeds/feed_qos_firewall/plugins/tr181-firewall/Makefile, feeds/feed_qos_firewall/plugins/tr181-firewall/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v8.7.23-1, v8.7.23-1, same
tr181-httpaccess, feeds/feed_net_services/plugins/tr181-httpaccess/Makefile, feeds/feed_net_services/plugins/tr181-httpaccess/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.15.7-1, v0.15.9-1, diff
tr181-ipdiagnostics, feeds/feed_net_services/plugins/tr181-ipdiagnostics/Makefile, feeds/feed_net_services/plugins/tr181-ipdiagnostics/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.9.20-1, v0.9.27-1, diff
tr181-lanconfigsecurity, feeds/feed_net_services/plugins/tr181-lanconfigsecurity/Makefile, feeds/feed_net_services/plugins/tr181-lanconfigsecurity/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.4.2-1, v0.4.2-1, same
tr181-led, feeds/feed_peripheral/plugins/tr181-led/Makefile, feeds/feed_peripheral/plugins/tr181-led/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.8.2-1, v0.8.2-1, same
tr181-localagent, feeds/feed_usp/apps/tr181-localagent/Makefile, feeds/feed_usp/apps/tr181-localagent/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.7.5-1, v2.7.5-1, same
tr181-logical, feeds/feed_net_core/plugins/tr181-logical/Makefile, feeds/feed_net_core/plugins/tr181-logical/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.8.1-1, v0.8.1-1, same
tr181-mcastd, , feeds/feed_mcastd/plugins/tr181-mcastd/Makefile, , BSD-2-Clause-Patent, , v0.1.6-1, B only
tr181-mqtt, feeds/feed_net_services/plugins/tr181-mqtt/Makefile, feeds/feed_net_services/plugins/tr181-mqtt/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v3.5.6-1, v3.5.6-1, same
tr181-mqttbroker, feeds/feed_net_hl_services/plugins/tr181-mqttbroker/Makefile, feeds/feed_net_hl_services/plugins/tr181-mqttbroker/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.0.29-1, v0.0.29-1, same
tr181-neighbordiscovery, feeds/feed_net_core/plugins/tr181-neighbordiscovery/Makefile, feeds/feed_net_core/plugins/tr181-neighbordiscovery/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.1.6-1, v1.1.6-1, same
tr181-pcp, feeds/feed_qos_firewall/plugins/tr181-pcp/Makefile, feeds/feed_qos_firewall/plugins/tr181-pcp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.10.1-1, mainline-3.2_v0.1.0-1, diff
tr181-ppp, feeds/feed_net_core/plugins/tr181-ppp/Makefile, feeds/feed_net_core/plugins/tr181-ppp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.15.8-1, v0.15.8-1, same
tr181-qos, feeds/feed_qos_firewall/plugins/tr181-qos/Makefile, feeds/feed_qos_firewall/plugins/tr181-qos/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v4.2.3-1, v4.2.3-1, same
tr181-rest-api, feeds/feed_prpl/network/utilities/tr181-rest-api/Makefile, feeds/feed_prpl/network/utilities/tr181-rest-api/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.1-1, v0.1.1-1, same
tr181-routeradvertisement, feeds/feed_net_core/plugins/tr181-routeradvertisement/Makefile, feeds/feed_net_core/plugins/tr181-routeradvertisement/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.18.6-1, v0.18.6-1, same
tr181-schedules, feeds/feed_net_services/plugins/tr181-schedules/Makefile, feeds/feed_net_services/plugins/tr181-schedules/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.1-1, v1.0.1-1, same
tr181-security, feeds/feed_net_services/plugins/tr181-security/Makefile, feeds/feed_net_services/plugins/tr181-security/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.4.6-1, v0.4.6-1, same
tr181-syslog, feeds/feed_net_services/plugins/tr181-syslog/Makefile, feeds/feed_net_services/plugins/tr181-syslog/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.6.6-1, v1.6.6-1, same
tr181-uds, feeds/feed_usp/apps/tr181-uds/Makefile, feeds/feed_usp/apps/tr181-uds/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.1-1, v0.2.1-1, same
tr181-upnp, feeds/feed_net_services/plugins/tr181-upnp/Makefile, feeds/feed_net_services/plugins/tr181-upnp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.10.11-1, v0.10.11-1, same
